"Hillnumber","Arearef","Alt_Area"
"2631","NE07","0"
"2632","NE07","0"
"2633","NE05","0"
"2634","C30","0"
"2634","NE05","0"
"2635","NE05","0"
"2636","NE05","0"
"2637","NE05","0"
"2638","NE05","0"
"2639","NE05","0"
"2640","NE05","0"
"2641","NE05","0"
"2642","NE05","0"
"2643","NE05","0"
"2644","NE05","0"
"2645","NE05","0"
"2646","NE05","0"
"2647","NE05","0"
"2648","NE05","0"
"2649","NE05","0"
"2650","NE05","0"
"2651","NE05","0"
"2652","NE05","0"
"2653","NE05","0"
"2654","NE05","0"
"2655","NE05","0"
"2656","NE05","0"
"2657","NE05","0"
"2658","NE05","0"
"2659","NE05","0"
"3972","M01C","0"
"3973","M01C","0"
"3974","M01C","0"
"3975","M01C","0"
"3976","M01C","0"
"3977","M01D","0"
"3978","M01D","0"
"3979","M01D","0"
"3980","M01D","0"
"3981","M01D","0"
"3982","M01D","0"
"3983","M01D","0"
"3984","M01E","0"
"3985","M01E","0"
"3986","M01E","0"
"3987","M01E","0"
"3988","M01E","0"
"3989","M01E","0"
"3990","M01E","0"
"3991","M02A","0"
"3992","M02A","0"
"3993","M02A","0"
"3994","M02A","0"
"3995","M02A","0"
"3996","M02A","0"
"3997","M02A","0"
"3998","M02A","0"
"3999","M02A","0"
"4000","M02A","0"
"4001","M02A","0"
"4002","M02A","0"
"4003","M02A","0"
"4004","M02A","0"
"4005","M02A","0"
"4006","M02A","0"
"4007","M02A","0"
"4008","M02B","0"
"4009","M02B","0"
"4010","M02B","0"
"4011","M02B","0"
"4012","M02B","0"
"4013","M02B","0"
"4014","M03A","0"
"4015","M03A","0"
"4016","M03A","0"
"4017","M03A","0"
"4018","M03A","0"
"4019","M03B","0"
"4020","M03B","0"
"4021","M03B","0"
"4022","M03B","0"
"4023","M03B","0"
"4024","M03B","0"
"4025","M03B","0"
"4026","M03B","0"
"4027","M03B","0"
"4028","M03B","0"
"4029","M03C","0"
"4030","M03C","0"
"4031","M03C","0"
"4032","M03C","0"
"1884","D07","0"
"1885","D07","0"
"1889","D07","0"
"1894","D07","0"
"1898","D07","0"
"1900","D07","0"
"1904","D07","0"
"1905","D07","0"
"1907","D07","0"
"1908","D07","0"
"1830","D05","0"
"1831","D05","0"
"1833","D05","0"
"1834","D05","0"
"1845","D05","0"
"1847","D05","0"
"1850","D05","0"
"1851","D05","0"
"1856","D05","0"
"1857","D05","0"
"1861","D05","0"
"1867","D05","0"
"1877","D05","0"
"1879","D05","0"
"1882","D05","0"
"1887","D05","0"
"1890","D05","0"
"1891","D05","0"
"1893","D05","0"
"1896","D05","0"
"1899","D05","0"
"1903","D05","0"
"1832","D06","0"
"1835","D06","0"
"1836","D06","0"
"1837","D06","0"
"1838","D06","0"
"1839","D06","0"
"1841","D06","0"
"1842","D06","0"
"1844","D06","0"
"1848","D06","0"
"1849","D06","0"
"1852","D06","0"
"1853","D06","0"
"1854","D06","0"
"1855","D06","0"
"1860","D06","0"
"1868","D06","0"
"1872","D06","0"
"1874","D06","0"
"1883","D06","0"
"1895","D06","0"
"1846","D11","0"
"1906","D11","0"
"2308","D11","1"
"4033","M03C","0"
"4034","M03C","0"
"4035","M03C","0"
"4036","M03C","0"
"4037","M03C","0"
"4038","M03C","0"
"4039","M04A","0"
"4040","M04A","0"
"4041","M04A","0"
"4042","M04A","0"
"4043","M04A","0"
"4044","M04A","0"
"4045","M04A","0"
"4046","M04B","0"
"4047","M04B","0"
"4048","M04B","0"
"4049","M04B","0"
"4050","M04B","0"
"4051","M05A","0"
"4052","M05A","0"
"4053","M05A","0"
"4054","M05A","0"
"4055","M05A","0"
"4056","M05B","0"
"4057","M05A","0"
"4058","M05B","0"
"4059","M05A","0"
"4060","M06A","0"
"4061","M06A","0"
"4062","M06A","0"
"4063","M06A","0"
"4064","M06A","0"
"4065","M06A","0"
"4066","M06A","0"
"4067","M06A","0"
"4068","M06A","0"
"4069","M06A","0"
"4070","M06A","0"
"4071","M06A","0"
"4072","M06A","0"
"4073","M06A","0"
"4074","M06A","0"
"4075","M06A","0"
"4076","M06A","0"
"4077","M06A","0"
"4078","M06A","0"
"4079","M06A","0"
"4080","M06B","0"
"4081","M06B","0"
"4082","M06B","0"
"4083","M06B","0"
"4084","M06B","0"
"4085","M06B","0"
"4086","M06B","0"
"4087","M06B","0"
"4088","M06B","0"
"4089","M06B","0"
"3663","M02B","0"
"3664","M03A","0"
"3665","M03B","0"
"3666","M03B","0"
"3667","M06A","0"
"3668","M06A","0"
"3669","M06A","0"
"3670","M07A","0"
"3671","M08B","0"
"3900","M01A","0"
"3901","M01A","0"
"3902","M01A","0"
"3903","M01A","0"
"3904","M01A","0"
"3905","M01A","0"
"3906","M01A","0"
"3907","M01A","0"
"3908","M01A","0"
"3909","M01A","0"
"3910","M01A","0"
"3911","M01A","0"
"3912","M01A","0"
"3913","M01A","0"
"3914","M01A","0"
"3915","M01A","0"
"3916","M01A","0"
"3917","M01A","0"
"3918","M01A","0"
"3919","M01A","0"
"3920","M01A","0"
"3921","M01A","0"
"3922","M01A","0"
"3923","M01A","0"
"3924","M01A","0"
"3925","M01A","0"
"3926","M01A","0"
"3927","M01A","0"
"3928","M01A","0"
"3929","M01A","0"
"3930","M01B","0"
"3931","M01B","0"
"3932","M01B","0"
"3933","M01B","0"
"3934","M01B","0"
"3935","M01B","0"
"3936","M01B","0"
"3937","M01B","0"
"3938","M01B","0"
"3939","M01B","0"
"3940","M01B","0"
"3941","M01B","0"
"4090","M06B","0"
"4091","M06B","0"
"4092","M06B","0"
"4093","M06B","0"
"4094","M06B","0"
"4095","M06B","0"
"4096","M06B","0"
"4097","M06B","0"
"4098","M06B","0"
"4099","M06B","0"
"4100","M06B","0"
"4101","M06B","0"
"4102","M06B","0"
"4103","M07A","0"
"4104","M07A","0"
"4105","M07A","0"
"4106","M07A","0"
"4107","M07A","0"
"4108","M07A","0"
"4109","M07A","0"
"4110","M07A","0"
"4111","M07A","0"
"4112","M07A","0"
"4113","M07A","0"
"4114","M07A","0"
"4115","M07B","0"
"4116","M07B","0"
"4117","M07B","0"
"4118","M07B","0"
"4119","M07B","0"
"4120","M07B","0"
"4121","M07B","0"
"4122","M07B","0"
"4123","M07B","0"
"4124","M07B","0"
"4125","M07B","0"
"1256","M17B","0"
"1257","M17B","0"
"1258","M17B","0"
"1259","M17B","0"
"1260","M17B","0"
"1261","M17B","0"
"1262","M17B","0"
"1263","M17B","0"
"1264","M17B","0"
"1265","M17B","0"
"1266","M17B","0"
"1267","M17B","0"
"1268","M17B","0"
